timestamp,ticker,action,shares,price,status
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,ASII.JK,BUY,392,102.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
2024-04-09 00:00:00,ASII.JK,BUY,392,102.0,SUCCESS
2024-04-09 00:00:00,BBCA.JK,BUY,370,108.0,SUCCESS
